market,funding_total_usd,status,status_binary,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,SUM_funding_total_usd
 News ," 17,50,000 ",acquired,not_operating,USA,NY,New York City,New York,1,6/1/12,6,Q2,2012,6/30/12,6/30/12,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750000
 Tourism ,"60,000",operating,operating,USA,TX,Dallas,Fort Worth,2,1/1/14,1,Q1,2014,8/17/14,9/26/14,0,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000
 Health and Wellness ," 17,50,000 ",operating,operating,USA,NJ,Newark,Iselin,1,1/1/84,1,Q1,1984,3/2/11,3/2/11,0,0,0,0,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750000
 E-Commerce ," 20,50,000 ",operating,operating,USA,MD,Baltimore,Woodbine,4,1/1/01,1,Q1,2001,6/18/09,12/28/11,0,0,0,0,0,2050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050000
 Search ,"40,000",operating,operating,USA,OR,"Portland, Oregon",Lake Oswego,1,1/1/08,1,Q1,2008,8/23/11,8/23/11,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000
 Curated Web ," 25,35,000 ",acquired,not_operating,USA,CA,SF Bay Area,San Francisco,2,7/1/10,7,Q3,2010,1/1/10,2/16/11,15000,2520000,0,0,0,0,0,0,0,0,0,0,0,2520000,0,0,0,0,0,0,0,5055000
 Curated Web ," 49,62,651 ",operating,operating,USA,WA,Seattle,Bellevue,6,1/1/08,1,Q1,2008,10/14/09,9/19/14,0,3814772,0,0,0,1147879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4962651
 Health Care Information Technology ," 4,20,000 ",operating,operating,USA,WI,Madison,Madison,1,7/4/14,7,Q3,2014,11/26/14,11/26/14,420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420000
 Analytics ," 12,50,000 ",acquired,not_operating,USA,CA,SF Bay Area,San Francisco,2,9/16/11,9,Q3,2011,11/2/11,11/30/11,750000,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250000
 Software ," 3,50,00,000 ",operating,operating,USA,NY,New York City,New York,1,1/1/00,1,Q1,2000,3/8/10,3/8/10,0,35000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000
 Curated Web ,"50,000",closed,not_operating,USA,OH,Cleveland,Cleveland,1,4/1/09,4,Q2,2009,4/1/09,4/1/09,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000
 Biotechnology ," 30,00,000 ",operating,operating,USA,CA,SF Bay Area,Oakland,1,1/1/12,1,Q1,2012,11/7/12,11/7/12,0,0,0,0,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000
 Software ,"77,500",operating,operating,USA,MA,Boston,Lexington,1,1/1/10,1,Q1,2010,10/12/11,10/12/11,0,0,0,0,0,77500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77500
 Pharmaceuticals ," 7,94,000 ",operating,operating,USA,RI,Providence,Providence,6,10/7/11,10,Q4,2011,2/6/12,1/1/14,69000,0,0,0,0,0,500000,225000,0,0,0,0,0,0,0,0,0,0,0,0,0,794000
 Manufacturing ," 6,64,50,000 ",operating,operating,USA,MA,Boston,Bedford,8,1/1/07,1,Q1,2007,3/27/08,12/12/13,0,63450000,0,0,0,0,0,3000000,0,0,0,0,0,12400000,28400000,17500000,0,0,0,0,0,124750000
 Advertising ," 55,00,000 ",operating,operating,USA,CA,SF Bay Area,San Francisco,2,1/11/10,1,Q1,2010,7/1/09,4/28/11,0,5500000,0,0,0,0,0,0,0,0,0,0,0,3000000,2500000,0,0,0,0,0,0,11000000
 Entertainment ," 5,00,000 ",operating,operating,USA,CA,Los Angeles,Santa Monica,1,1/1/10,1,Q1,2010,5/5/10,5/5/10,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000
 Software ," 34,00,000 ",operating,operating,USA,CA,SF Bay Area,San Francisco,3,5/1/11,5,Q2,2011,1/1/12,10/2/14,2200000,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400000
